===================
Searching time=3.544s.  QPS=59.1747 W/s
Searching time=3.214s.  QPS=65.2505 W/s
Searching time=2.57s.  QPS=81.6012 W/s
Searching time=2.724s.  QPS=76.988 W/s
===================
Searching time=3.781s.  QPS=55.4655 W/s
Searching time=3.431s.  QPS=61.1236 W/s
Searching time=2.753s.  QPS=76.177 W/s
Searching time=3.27s.  QPS=64.1331 W/s
===================
Searching time=4.004s.  QPS=52.3764 W/s
Searching time=3.499s.  QPS=59.9358 W/s
Searching time=2.705s.  QPS=77.5287 W/s
Searching time=3.036s.  QPS=69.0762 W/s
===================
Searching time=4.013s.  QPS=52.259 W/s
Searching time=3.514s.  QPS=59.6799 W/s
Searching time=2.685s.  QPS=78.1062 W/s
Searching time=3.273s.  QPS=64.0743 W/s
===================
Searching time=4.448s.  QPS=47.1482 W/s
Searching time=3.605s.  QPS=58.1734 W/s
Searching time=2.981s.  QPS=70.3506 W/s
Searching time=3.514s.  QPS=59.6799 W/s
===================
Searching time=4.114s.  QPS=50.976 W/s
Searching time=3.568s.  QPS=58.7767 W/s
Searching time=2.688s.  QPS=78.019 W/s
Searching time=3.469s.  QPS=60.4541 W/s
===================
Searching time=4.138s.  QPS=50.6803 W/s
Searching time=3.648s.  QPS=57.4877 W/s
Searching time=2.859s.  QPS=73.3526 W/s
Searching time=3.304s.  QPS=63.4731 W/s
===================
Searching time=4.179s.  QPS=50.1831 W/s
Searching time=3.565s.  QPS=58.8261 W/s
Searching time=2.699s.  QPS=77.7011 W/s
Searching time=3.215s.  QPS=65.2302 W/s
===================
Searching time=4.511s.  QPS=46.4897 W/s
Searching time=3.856s.  QPS=54.3867 W/s
Searching time=2.834s.  QPS=73.9997 W/s
Searching time=3.449s.  QPS=60.8046 W/s
===================
Searching time=4.544s.  QPS=46.1521 W/s
Searching time=3.933s.  QPS=53.3219 W/s
Searching time=2.925s.  QPS=71.6975 W/s
Searching time=3.516s.  QPS=59.646 W/s

