===================
Searching time=3.491s.  QPS=60.0731 W/s
Searching time=3.132s.  QPS=66.9589 W/s
Searching time=2.543s.  QPS=82.4676 W/s
Searching time=2.721s.  QPS=77.0728 W/s
===================
Searching time=3.796s.  QPS=55.2464 W/s
Searching time=3.34s.  QPS=62.789 W/s
Searching time=2.647s.  QPS=79.2275 W/s
Searching time=2.907s.  QPS=72.1415 W/s
===================
Searching time=3.912s.  QPS=53.6082 W/s
Searching time=3.502s.  QPS=59.8844 W/s
Searching time=2.837s.  QPS=73.9215 W/s
Searching time=3.207s.  QPS=65.393 W/s
===================
Searching time=4.009s.  QPS=52.3111 W/s
Searching time=3.428s.  QPS=61.1771 W/s
Searching time=2.65s.  QPS=79.1378 W/s
Searching time=3.107s.  QPS=67.4977 W/s
===================
Searching time=4.023s.  QPS=52.1291 W/s
Searching time=3.472s.  QPS=60.4018 W/s
Searching time=2.661s.  QPS=78.8107 W/s
Searching time=3.158s.  QPS=66.4076 W/s
===================
Searching time=4.054s.  QPS=51.7304 W/s
Searching time=3.49s.  QPS=60.0903 W/s
Searching time=2.671s.  QPS=78.5156 W/s
Searching time=3.174s.  QPS=66.0728 W/s
===================
Searching time=4.102s.  QPS=51.1251 W/s
Searching time=3.487s.  QPS=60.142 W/s
Searching time=2.686s.  QPS=78.0771 W/s
Searching time=3.211s.  QPS=65.3115 W/s
===================
Searching time=4.133s.  QPS=50.7416 W/s
Searching time=3.478s.  QPS=60.2976 W/s
Searching time=2.677s.  QPS=78.3396 W/s
Searching time=3.204s.  QPS=65.4542 W/s
===================
Searching time=4.122s.  QPS=50.877 W/s
Searching time=3.484s.  QPS=60.1938 W/s
Searching time=2.702s.  QPS=77.6148 W/s
Searching time=3.26s.  QPS=64.3298 W/s
===================
Searching time=4.239s.  QPS=49.4728 W/s
Searching time=3.634s.  QPS=57.7092 W/s
Searching time=2.735s.  QPS=76.6783 W/s
Searching time=3.247s.  QPS=64.5874 W/s
